"","X","Case","Restaurant","Price","Food","Decor","Service","East"
"1",1,1,"Daniella Ristorante",43,22,18,20,0
"2",2,2,"Tello's Ristorante",32,20,19,19,0
"3",3,3,"Biricchino",34,21,13,18,0
"4",4,4,"Bottino",41,20,20,17,0
"5",5,5,"Da Umberto",54,24,19,21,0
"6",6,6,"Le Madri",52,22,22,21,0
"7",7,7,"Le Zie",34,22,16,21,0
"8",8,8,"Pasticcio",34,20,18,21,1
"9",9,9,"Belluno",39,22,19,22,1
"10",10,10,"Cinque Terre",44,21,17,19,1
"11",11,11,"Fino",45,19,17,20,1
"12",12,12,"Marchi's",47,21,19,21,1
"13",13,13,"Nicola Paone",52,21,19,20,1
"14",14,14,"Notaro",35,19,17,19,1
"15",15,15,"Rossini's",47,20,18,21,1
"16",16,16,"Trattoria Alba",37,21,19,21,1
"17",17,17,"Villa Berulia",45,22,18,23,1
"18",18,18,"Il Postino",57,24,21,22,1
"19",19,19,"Luna Blu",38,19,17,18,1
"20",20,20,"San Giusto",51,22,20,22,1
"21",21,21,"Grifone",54,23,20,23,1
"22",22,22,"Nanni's",51,23,17,21,1
"23",23,23,"Osteria Laguna",38,20,18,18,1
"24",24,24,"Bellini",49,22,21,21,1
"25",25,25,"Cellini",45,22,20,22,1
"26",26,26,"Anche Vivolo",37,19,17,19,1
"27",27,27,"Bruno Ristorante",50,22,19,22,1
"28",28,28,"Chianti",43,20,16,18,1
"29",29,29,"Da Antonio Ristorante",49,22,19,20,1
"30",30,30,"Harry Cipriani",65,21,20,20,1
"31",31,31,"La Gioconda",34,20,16,18,1
"32",32,32,"Bice",51,21,20,18,1
"33",33,33,"Coco Pazzo Cafe",49,20,19,19,1
"34",34,34,"DeGrezia",51,23,22,23,1
"35",35,35,"FELIDIA",62,25,22,23,1
"36",36,36,"Fresco by Scotto",50,23,21,21,1
"37",37,37,"Giambelli",51,21,18,20,1
"38",38,38,"Il Menestrello",52,22,19,22,1
"39",39,39,"Il Nido",57,24,20,23,1
"40",40,40,"Il Valentino",49,21,20,21,1
"41",41,41,"Luna Piena",33,19,17,18,1
"42",42,42,"Paper Moon Milano",43,19,17,17,1
"43",43,43,"Teodora",41,21,17,18,1
"44",44,44,"San Pietro",58,24,21,23,1
"45",45,45,"Bravo Gianni",56,22,17,21,1
"46",46,46,"Canaletto",44,22,17,21,1
"47",47,47,"Il Gatto & La Volpe",37,20,15,20,1
"48",48,48,"Il Valletto Due Mila",56,21,17,20,1
"49",49,49,"Scalinatella",58,24,18,21,1
"50",50,50,"Barbaresco",44,16,16,16,1
"51",51,51,"Da Filippo",46,20,18,20,1
"52",52,52,"East River Cafe",40,20,20,20,1
"53",53,53,"Fred's at Barneys NY",39,19,18,17,1
"54",54,54,"Il Vagabondo",36,17,14,17,1
"55",55,55,"Mediterraneo",34,18,15,16,1
"56",56,56,"Nello",54,18,16,15,1
"57",57,57,"Primola",51,23,17,20,1
"58",58,58,"Gino",41,20,14,19,1
"59",59,59,"Via Oreto",40,22,17,20,1
"60",60,60,"Bardolino",24,18,13,18,1
"61",61,61,"Campagnola",53,24,20,21,1
"62",62,62,"Cucina Vivolo",31,19,16,17,1
"63",63,63,"Grace's Trattoria",35,18,16,17,1
"64",64,64,"Lumi",49,20,19,19,1
"65",65,65,"Mezzaluna",38,19,15,17,1
"66",66,66,"Sette Mezzo",48,21,16,18,1
"67",67,67,"Vivolo",43,20,19,20,1
"68",68,68,"Zucchero e Pomodori",29,17,14,15,1
"69",69,69,"Baraonda",37,17,18,15,1
"70",70,70,"Coco Pazzo",55,22,21,20,1
"71",71,71,"Due",37,22,18,20,1
"72",72,72,"Il Monello",55,23,20,22,1
"73",73,73,"Lusardi's",49,24,20,22,1
"74",74,74,"Maruzzella",33,19,14,18,1
"75",75,75,"Nino's",52,23,20,22,1
"76",76,76,"Parma",47,22,16,21,1
"77",77,77,"Il Riccio",43,21,16,20,1
"78",78,78,"Andiamo",33,18,17,18,1
"79",79,79,"Caffe Grazie",38,18,16,19,1
"80",80,80,"Giovanni Venticinque",48,21,18,19,1
"81",81,81,"Girasole",50,21,18,21,1
"82",82,82,"Paola's",46,23,19,21,1
"83",83,83,"Rughetta",38,23,19,24,1
"84",84,84,"Triangolo",33,20,16,19,1
"85",85,85,"Cafe Trevi",46,23,19,23,1
"86",86,86,"Divino Ristorante",37,19,15,19,1
"87",87,87,"Elio's",50,23,18,20,1
"88",88,88,"Erminia",54,25,24,24,1
"89",89,89,"Firenze",41,21,19,21,1
"90",90,90,"Luca",37,21,15,18,1
"91",91,91,"Nicola's",50,22,18,21,1
"92",92,92,"Primavera",60,24,22,23,1
"93",93,93,"Sirabella's",36,23,16,22,1
"94",94,94,"Sistina",54,23,19,21,1
"95",95,95,"Spada",39,19,18,18,1
"96",96,96,"Trattoria Rustica",35,20,16,18,1
"97",97,97,"Carino Ristorante",30,19,13,20,1
"98",98,98,"Quattro Gatti",41,19,17,19,1
"99",99,99,"Tony's Di Napoli",30,19,14,17,1
"100",100,100,"Ecco-la",25,18,15,15,1
"101",101,101,"Joanna's",43,19,18,21,1
"102",102,102,"Vico",45,20,15,17,1
"103",103,103,"Rao's",57,23,16,20,1
"104",104,104,"Basta Pasta",32,18,15,17,0
"105",105,105,"Campagna",51,24,21,21,1
"106",106,106,"Follonico",48,23,20,21,1
"107",107,107,"Ribollita",36,18,16,16,1
"108",108,108,"Bondi Ristorante",37,20,17,19,0
"109",109,109,"Casa Mia",31,20,19,19,1
"110",110,110,"Novit",47,23,19,21,1
"111",111,111,"Paul & Jimmy's",40,19,16,19,1
"112",112,112,"Sal Anthony's",37,18,16,18,1
"113",113,113,"Enoteca i Trulli",43,23,20,21,1
"114",114,114,"I Trulli",51,23,22,21,1
"115",115,115,"Lamarca",19,18,9,15,1
"116",116,116,"Supreme Macaroni Co.",28,17,14,17,0
"117",117,117,"Veronica",22,21,6,14,0
"118",118,118,"Arno",41,19,17,19,0
"119",119,119,"Amarone",33,19,15,18,0
"120",120,120,"Cara Mia",29,19,15,17,0
"121",121,121,"Casa Di Meglio",33,19,17,18,0
"122",122,122,"La Rivista",45,19,16,18,0
"123",123,123,"Trattoria Dopo Teatro",38,17,16,17,0
"124",124,124,"Barbetta",52,20,23,20,0
